education,food,commerce,finance,health,kindergarten,school,edu_buf,food_buf,fin_buf,commerce_buf,subway_buf,bus_buf,tram_stop,building_id,y,x
0,0,0,0,0,4,3,0,0,0,0,0,0,0,71,"59.79158457","30.15618934"
0,0,0,0,0,4,3,0,0,0,0,0,0,0,72,"59.79180412","30.15653325"
0,0,0,0,0,4,3,0,0,0,0,0,0,0,73,"59.79153295","30.15656778"
0,0,0,0,0,2,3,1,0,0,3,0,0,0,74,"59.79467137","30.15751465"
0,0,0,0,0,4,3,0,0,0,0,0,0,0,75,"59.79218788","30.15708934"
0,0,0,0,0,2,2,0,1,0,5,0,0,0,76,"59.79570233","30.15787772"
0,1,1,0,1,4,3,0,0,0,0,0,0,0,77,"59.79235583","30.15745352"
0,0,0,0,0,4,1,1,2,0,7,0,1,0,78,"59.86144455","30.15892968"
1,0,1,0,0,4,3,0,0,0,0,0,0,0,79,"59.79281813","30.15834877"
0,0,0,0,0,2,3,1,0,0,3,0,0,0,80,"59.79476643","30.15954167"
0,0,0,0,1,4,3,0,0,0,0,0,0,0,81,"59.79293020","30.15850955"
0,0,0,0,0,4,1,0,0,0,0,0,2,0,82,"59.85980247","30.15982665"
0,0,0,0,0,4,3,0,0,0,0,0,1,0,83,"59.79319375","30.15896020"
0,0,1,0,0,4,3,0,0,0,0,0,1,0,84,"59.79337500","30.15913800"
0,0,1,0,1,1,1,0,1,0,4,0,0,0,85,"59.79555492","30.16053571"
0,1,0,0,0,4,2,0,0,0,2,0,0,0,86,"59.85872235","30.16182910"
1,0,1,0,0,2,0,0,1,0,0,0,2,0,87,"59.86964047","30.16139067"
0,0,0,0,0,5,1,1,1,0,4,0,0,0,88,"59.86332835","30.16180374"
0,0,0,0,0,5,2,0,0,0,2,0,1,0,89,"59.86114091","30.16231461"
0,0,0,0,0,5,3,0,0,0,2,0,0,0,90,"59.86022900","30.16271480"
0,0,0,0,0,6,3,0,0,0,0,0,0,0,91,"59.86030810","30.16460709"
0,0,0,0,0,5,3,0,0,0,0,0,0,0,92,"59.85870990","30.16444201"
0,0,1,0,1,5,3,1,0,0,0,0,0,0,93,"59.86200234","30.16481473"
0,0,0,0,0,3,0,1,0,0,5,0,0,0,94,"59.86843964","30.16589763"
0,0,0,0,0,6,3,1,0,0,1,0,0,0,95,"59.86256520","30.16718591"
0,0,1,0,0,6,3,1,0,0,0,0,0,0,96,"59.86125453","30.16657591"
0,0,0,0,0,3,3,0,0,0,3,0,0,0,97,"59.85814315","30.16753682"
0,0,0,0,0,4,1,0,0,0,0,0,0,0,98,"59.83701842","30.16643173"
0,0,0,0,0,4,3,1,0,0,2,0,0,0,99,"59.85880719","30.16681674"
0,0,0,0,0,6,3,1,0,0,0,0,0,0,100,"59.86030184","30.16690167"
0,0,0,0,0,5,3,0,0,0,0,0,0,0,101,"59.84054783","30.16697753"
0,0,0,0,0,3,0,0,0,0,0,0,0,0,102,"59.83615115","30.16707310"
0,0,0,0,0,4,1,1,0,0,0,0,0,0,103,"59.83728295","30.16717145"
0,0,0,0,0,6,3,0,0,0,0,0,0,0,104,"59.86131309","30.16806889"
0,0,0,0,0,2,3,0,0,0,1,0,0,0,105,"59.84278423","30.16731552"
0,0,0,0,0,5,3,0,0,0,0,0,0,0,106,"59.83951790","30.16733313"
0,0,0,0,0,2,3,0,0,0,0,0,2,0,107,"59.84365097","30.16776320"
0,0,0,0,0,5,3,0,0,0,0,0,0,0,108,"59.84081490","30.16768820"
0,0,0,0,0,3,3,0,0,0,0,0,0,0,109,"59.85904995","30.16846869"
0,0,0,0,0,3,1,1,0,0,0,0,0,0,110,"59.83640885","30.16783510"
0,0,0,0,0,3,2,1,0,0,0,0,0,0,111,"59.83761120","30.16872098"
0,0,0,0,0,5,3,1,0,0,0,0,0,0,112,"59.83975015","30.16808965"
0,0,0,0,0,2,3,1,0,0,3,0,0,0,113,"59.84263993","30.16895355"
0,0,0,0,1,4,3,1,0,0,0,0,0,0,114,"59.84083540","30.16935455"
0,0,0,0,0,5,4,1,0,0,0,0,0,0,115,"59.86302393","30.16966976"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,116,"59.83938585","30.17016912"
0,0,0,0,0,3,1,0,0,0,0,0,0,0,117,"59.83623972","30.17025858"
0,1,1,0,1,5,3,1,0,0,1,0,0,0,118,"59.86178596","30.16929291"
0,0,0,0,0,4,3,0,0,0,6,0,0,0,119,"59.86442419","30.17038903"
0,0,0,0,0,1,3,0,0,0,3,0,0,0,120,"59.84303353","30.17027328"
0,0,0,0,0,3,3,0,0,0,0,0,0,0,121,"59.85935164","30.17074987"
0,0,1,0,1,3,2,0,0,0,0,0,0,0,122,"59.83832295","30.17028170"
0,0,0,0,0,3,3,1,0,0,2,0,0,0,123,"59.85831716","30.17258271"
0,0,0,0,0,1,3,0,0,0,2,0,0,0,124,"59.84188145","30.17028962"
0,0,1,0,0,3,3,1,0,0,1,0,0,0,125,"59.86079998","30.17056616"
0,0,0,0,0,3,4,0,0,0,3,0,0,0,126,"59.86139393","30.17164566"
0,0,0,0,0,4,1,1,0,0,3,0,0,0,127,"59.86533970","30.17086503"
0,0,1,0,0,1,2,0,0,0,0,0,0,0,128,"59.84166140","30.17103610"
0,0,1,0,0,4,4,0,0,0,3,0,1,0,129,"59.86233684","30.17233076"
0,0,0,0,0,1,2,0,0,0,3,0,1,0,130,"59.84259357","30.17169248"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,131,"59.83833145","30.17111670"
0,0,0,0,0,2,2,0,0,0,0,0,0,0,132,"59.84143832","30.17179263"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,133,"59.83833440","30.17197083"
0,0,0,0,0,3,2,1,1,0,4,0,0,0,134,"59.86449925","30.17238262"
0,0,0,0,0,3,2,1,0,0,0,0,0,0,135,"59.84005330","30.17250395"
0,1,0,0,0,3,1,1,0,0,0,0,0,0,136,"59.83689042","30.17255892"
0,0,0,0,0,4,3,0,1,0,0,0,0,0,137,"59.86006343","30.17327094"
0,0,1,0,0,3,2,0,0,0,4,0,0,0,138,"59.83859698","30.17339141"
0,0,0,0,0,1,1,0,0,0,3,0,1,0,139,"59.86674028","30.17495843"
0,0,0,0,0,3,2,0,0,0,3,0,0,0,140,"59.86430688","30.17339211"
0,0,0,0,0,2,2,1,1,0,3,0,0,0,141,"59.84083227","30.17360028"
0,0,0,0,0,1,1,0,0,0,1,0,0,0,142,"59.86643759","30.17341428"
0,0,0,0,0,3,1,0,0,0,4,0,0,0,143,"59.83796220","30.17388369"
0,0,1,0,0,7,4,0,3,0,1,0,0,0,144,"59.86070795","30.17463448"
0,0,0,0,0,6,3,0,0,0,1,0,0,0,145,"59.86164648","30.17529730"
0,0,0,0,0,1,1,0,0,0,3,0,1,0,146,"59.86620428","30.17444182"
0,0,1,0,1,3,2,0,0,0,1,0,0,0,147,"59.84005095","30.17434910"
0,0,0,0,0,3,1,0,0,0,4,0,1,0,148,"59.83846759","30.17435715"
0,0,0,0,0,4,2,0,0,0,0,0,0,0,149,"59.83689470","30.17444965"
0,0,0,0,0,1,1,0,0,0,3,0,0,0,150,"59.86597178","30.17546452"
0,0,0,0,0,2,1,0,0,0,0,0,1,0,151,"59.84012988","30.17665124"
0,0,1,0,0,3,2,0,0,0,0,0,0,0,152,"59.83719357","30.17667305"
0,0,0,0,0,2,2,0,0,0,3,0,3,0,153,"59.85098240","30.17688284"
0,1,1,1,1,3,1,0,0,0,1,0,0,0,154,"59.83615418","30.17766330"
0,0,1,0,0,4,1,0,1,4,11,0,0,0,155,"59.83421716","30.17739278"
0,0,0,0,0,3,3,0,0,0,5,0,2,0,156,"59.85147892","30.17720074"
0,1,1,0,1,2,2,0,0,0,5,0,0,0,157,"59.83863172","30.17722000"
0,0,0,0,0,2,3,0,1,0,5,0,0,0,158,"59.85278615","30.17701977"
0,0,0,0,0,3,2,0,0,0,4,0,0,0,159,"59.83805207","30.17726967"
0,0,0,0,0,2,2,0,0,0,0,0,0,0,160,"59.85453531","30.17711336"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,161,"59.84094722","30.17807756"
0,0,1,0,0,3,1,0,0,0,0,0,0,0,162,"59.86507426","30.17871143"
0,0,0,0,0,1,2,0,0,0,2,0,0,0,163,"59.83924740","30.17816175"
0,0,0,0,0,3,1,0,0,0,0,0,0,0,164,"59.86574213","30.17911718"
0,0,0,0,0,5,3,1,0,0,0,0,0,0,165,"59.85615022","30.17870342"
0,0,0,0,0,5,3,0,2,0,2,0,3,0,166,"59.85767178","30.17803855"
0,0,0,0,0,2,2,0,0,0,4,0,0,0,167,"59.83835097","30.17792695"
0,0,0,0,0,0,2,0,0,0,0,0,0,0,168,"59.84017915","30.17797895"
0,0,0,0,0,2,1,0,0,0,0,0,0,0,169,"59.83705580","30.17803935"
0,0,0,0,0,6,3,0,1,0,0,0,1,0,170,"59.85834076","30.17827288"
0,0,0,0,0,4,1,0,1,3,5,0,0,0,171,"59.83492100","30.17846660"
0,0,0,0,0,7,2,1,0,0,0,0,0,0,172,"59.85952170","30.17992366"
0,0,0,0,0,0,2,0,0,0,1,0,0,0,173,"59.84003165","30.17875980"
0,0,1,0,0,2,1,0,0,0,0,0,0,0,174,"59.83689680","30.17879830"
0,0,1,0,0,4,2,0,1,0,3,0,0,0,175,"59.86350630","30.17905115"
0,0,0,0,0,3,3,0,0,0,1,0,0,0,176,"59.85217640","30.17894130"
0,1,1,0,0,3,2,0,0,0,1,0,0,0,177,"59.85362369","30.17981131"
0,1,1,0,1,3,1,1,1,0,2,0,1,1,178,"59.83360150","30.18038225"
0,0,0,0,0,3,4,0,1,0,6,0,1,0,179,"59.85105639","30.17979805"
0,0,0,0,0,2,1,0,0,0,0,0,0,0,180,"59.83824230","30.17932525"
0,0,0,0,0,0,2,0,0,0,1,0,0,0,181,"59.83985995","30.17954100"
0,0,0,0,0,2,1,0,0,0,0,0,0,0,182,"59.83673705","30.17954730"
0,0,1,0,0,3,2,0,1,0,3,0,0,0,183,"59.86380092","30.17983281"
0,0,0,0,0,2,1,0,0,0,3,0,0,0,184,"59.83527800","30.18056795"
0,0,0,0,0,2,2,0,0,0,0,0,0,0,185,"59.86512833","30.18045701"
0,0,0,0,0,5,2,1,0,0,3,0,0,0,186,"59.85737371","30.18117062"
1,1,1,0,1,4,3,0,0,0,1,0,0,0,187,"59.85522893","30.18110685"
0,0,0,0,0,5,1,1,1,0,20,0,0,0,188,"59.86191826","30.18235228"
0,0,0,0,0,5,5,0,0,0,0,0,0,0,189,"59.85263087","30.18363251"
0,0,0,0,0,3,5,0,0,0,1,0,0,0,190,"59.85102172","30.18216824"
