building_area,living_area,population_balanced,y,x,building_id
1697.01,10366.8,179,59.85903425,30.16845886,109
343.865,2825.83,121,59.83640885,30.1678351,110
1398.56,9308.89,480,59.8376112,30.16872098,111
338.821,2874.97,155,59.83975015,30.16808965,112
1339.28,5067.8,293,59.84263999,30.16895359,113
1337.38,9304.1,508,59.8408354,30.16935455,114
2984.66,33542.4,593,59.86301183,30.16965191,115
2341.27,16189.6,859,59.83938586,30.17016912,116
2437.02,16254.9,885,59.83623974,30.17025843,117
927.224,10160,159,59.86178626,30.16929174,118
4840.68,3388.476,136,59.86442479,30.17042998,119
1545.97,10027.1,534,59.84301906,30.17028662,120
2594.49,14956.8,268,59.85934721,30.17080098,121
1858.44,6872.41,367,59.83832295,30.1702817,122
6266.93,35571,617,59.8583344,30.172537,123
1762.64,6886.85,366,59.84188142,30.17028963,124
629.96,9105,138,59.86079617,30.17056754,125
2840.39,30587,474,59.86140211,30.1716584,126
590.798,413.5586,17,59.8653397,30.17086503,127
1817.97,6923.42,374,59.8416614,30.1710361,128
4085.97,42072.1,676,59.8623144,30.17233245,129
1517,8148.8,445,59.84259283,30.17169502,130
1803.9,6911.14,368,59.83833145,30.1711167,131
1852.04,6946.5,367,59.84143835,30.17179262,132
1914.15,6890.38,351,59.83833442,30.17197083,133
590.75,413.525,17,59.86449925,30.17238262,134
1832.98,12621.1,671,59.8400533,30.17250395,135
1955.06,12743.5,651,59.83689045,30.17255892,136
2535.58,1774.906,71,59.86006637,30.17323762,137
2705.49,9017.2,504,59.83860069,30.17342991,138
3834.07,53677,919,59.86674325,30.17494673,139
590.573,9094.82,140,59.86430688,30.1733921,140
747.993,5185.2,281,59.84083644,30.17359459,141
612.394,428.6758,17,59.86643759,30.17341428,142
710.558,4973.91,283,59.837962,30.17388309,143
2838.99,30573,525,59.86071468,30.17464888,144
3773.06,2641.14,46,59.86162548,30.17530536,145
612.398,428.6786,17,59.86620428,30.17444181,146
1858.36,12808.7,642,59.84005095,30.1743491,147
758.932,4443.3,221,59.83846811,30.17435679,148
1897.58,12818.4,652,59.8368947,30.17444965,149
612.402,5144.18,80,59.86597178,30.17546451,150
3086.01,18131.4,1000,59.84012716,30.17665576,151
1599.76,11250.9,641,59.83719357,30.17667305,152
756.907,1589.5,30,59.8509824,30.17688284,153
2847.36,18314.9,931,59.83616823,30.17768422,154
6713.72,24797.1,1325,59.83426409,30.17738329,155
2496.38,27959.5,492,59.85148788,30.17718774,156
724.677,4565.47,258,59.83863254,30.17722084,157
2106.5,16861.5,259,59.85278426,30.17704056,158
690.658,4351.14,226,59.83805267,30.17726909,159
3677.88,24187.8,418,59.85453342,30.17711236,160
1750.58,11310,626,59.84094723,30.17807764,161
3587.64,76994.4,1284,59.86508047,30.17873236,162
1403.42,5042,277,59.8392474,30.17816175,163
3924.24,68674.2,1150,59.8657303,30.1790917,164
3196.33,18252,315,59.8561307,30.17870913,165
662.275,7417.48,122,59.85766389,30.1780318,166
814.538,5131.59,299,59.83834814,30.17792351,167
1345.73,5372,300,59.84017915,30.17797895,168
1310.32,5418.24,269,59.8370558,30.17803935,169
662.164,7596.3,109,59.85834444,30.1782574,170
1338.02,9252.01,515,59.834921,30.1784666,171
6771.09,11657.7,201,59.85950183,30.17997152,172
1349.29,5414,294,59.84003165,30.1787598,173
1304.36,5426.29,269,59.8368968,30.1787983,174
853.292,13639.6,226,59.8635063,30.17905115,175
2085.85,18562.2,308,59.85217567,30.17894093,176
2294.56,23612.1,399,59.85362192,30.17980903,177
1940.11,11243.5,558,59.83360151,30.18038225,178
1553.98,12883.1,213,59.85107023,30.17981031,179
1660.12,11238.7,597,59.8382423,30.17932525,180
1394.41,5425,306,59.83985995,30.179541,181
1360.92,5419.34,287,59.83673705,30.1795473,182
644.078,9547.5,150,59.86380092,30.17983281,183
1307.07,5098.53,285,59.835278,30.18056795,184
414.123,289.886,5,59.86512692,30.18046531,185
4312.17,15964.7,261,59.85738189,30.1812097,186
3009.17,12942.5,194,59.85522005,30.1811302,187
6209.67,59523.5,963,59.86193494,30.18237992,188
5667.34,36624.6,634,59.85261815,30.18359807,189
1680.49,1176.343,47,59.85102137,30.18218501,190
2403.03,14646,774,59.83419536,30.18185411,191
1436.34,11257,204,59.8601459,30.18259045,192
3885.11,22070.2,380,59.85414746,30.18388597,193
1534.83,9094.6,152,59.85536851,30.18349371,194
1274.66,4670.1,89,59.85897753,30.18345111,195
2209.22,12676.5,659,59.83094807,30.18278518,196
697.29,8917.8,152,59.86376797,30.18302092,197
552.519,4006,213,59.83001421,30.18298692,198
673.385,4242.33,223,59.83227023,30.18302385,199
1228.95,9026,467,59.8291795,30.18310574,200
26.8248,18.77736,1,59.8574468,30.1831015,201
694.648,8944.9,156,59.86330146,30.18339753,202
1782.17,24582,1343,59.82822064,30.18358356,203
1239.55,14504.7,780,59.83248808,30.1840429,204
4398.99,26711.4,468,59.8563699,30.18449344,205
891.459,624.0213,25,59.8625785,30.18350875,206
849.067,5823,318,59.8317442,30.18382525,207
7030.91,22357.2,351,59.85826381,30.18550732,208
874.261,5848,324,59.8311682,30.1840465,209
1341.72,12163.5,193,59.85964878,30.18398115,210
997.883,12065.4,223,59.86239393,30.18415823,211
2340.25,27256.2,419,59.86114387,30.18514472,212
588.29,6588.85,348,59.82780046,30.18484841,213
1604.01,8983.4,457,59.8310891,30.18569235,214
1166.7,8180.3,418,59.83193385,30.18528408,215
745.66,9557.8,158,59.86186895,30.18550297,216
4670.89,30297.9,506,59.84758813,30.18697841,217
1435.83,14669.7,228,59.84907375,30.18589515,218
3643.63,23354.7,401,59.85244798,30.18627867,219
1169.9,12284,218,59.8483536,30.18673858,220
1476.49,17022.8,289,59.86163288,30.18641957,221
1831.97,17979.8,304,59.85461136,30.18664716,222
4239.16,50729.5,870,59.86052902,30.18808654,223
4823.37,25850.6,441,59.85588468,30.18745082,224
1435.21,15182.7,252,59.85100115,30.1883123,225
1169.66,818.762,33,59.84822652,30.18830611,226
3380.09,21741.2,355,59.85344946,30.18788716,227
7277.09,35041.2,630,59.85714137,30.19028881,228
660.704,9382.5,155,59.8615712,30.18892079,229
1465.45,11906.1,216,59.85848478,30.18961721,230
1444.34,9011.8,169,59.8538864,30.18997921,231
660.734,10364,165,59.8618458,30.18954532,232
660.801,8530.9,143,59.8622715,30.18956422,233
1720.05,10747.9,195,59.85315525,30.18940805,234
903.646,7330.2,144,59.84835108,30.1900191,235
1780.65,17846,323,59.85129436,30.1904527,236
1797.25,10999.7,178,59.84745045,30.18992898,237
2640.9,16323.6,261,59.85005,30.19047991,238
2732.72,1912.904,77,59.86283675,30.19033571,239
6154.27,54818,962,59.85949139,30.19178715,240
2295.9,18906.8,567,59.98971474,30.19094266,241
791.282,5709,88,59.85085233,30.19090441,242
1151.45,7104.1,129,59.85320018,30.19108934,243
1457.63,12275.4,207,59.85814651,30.19113302,244
1159.5,9376.3,285,59.98900666,30.19104463,245
5250.15,4156.6,71,59.85503333,30.19238933,246
1676.48,10774.1,194,59.84716727,30.19202952,247
1450.98,10156.9,281,59.9882042,30.19160178,248
22.7068,413.263,6,59.86123225,30.19129145,249
1335.8,8415.54,362,59.82922705,30.19172359,250
697.425,488.197,10,59.8610304,30.19168641,251
764.596,10918.8,203,59.8617635,30.19185518,252
65.5476,45.8833,2,60.03938715,30.1916589,253
591.321,4910.5,75,59.8516812,30.19196385,254
2462.69,15883.2,438,59.98949668,30.19325763,255
2419.79,16242.1,707,59.82837546,30.19368376,256
1170.25,7372.56,124,59.85009784,30.1928094,257
1457.52,12449.4,223,59.857784,30.19271927,258
729.794,10092.8,174,59.8613359,30.19238541,259
840.27,5881.89,179,59.98795703,30.19271218,260
879.968,7675,254,59.9871971,30.19271451,261
851.486,11920.8,189,59.86071661,30.19256663,262
652.573,4265.6,178,59.83008321,30.19258068,263
2841.48,18111.1,326,59.8480318,30.19324061,264
176.929,123.85,2,60.03958153,30.19262097,265
938.892,6458.1,282,59.8306193,30.1928276,266
882.029,3522.36,140,59.82940176,30.19312115,267
1529.88,19385,342,59.86227346,30.19299209,268
4271.76,36171.8,635,59.85687046,30.1938949,269
856.284,5876.9,101,59.85158183,30.19318297,270
3816.44,66787.7,1951,59.99406204,30.1936612,271
1100.26,9119.9,288,59.98677534,30.19338961,272
614.527,4458.9,150,59.83021486,30.19353616,273
874.254,7830.6,223,59.98624497,30.1936494,274
1404.07,8042.4,365,59.83135988,30.19378912,275
873.349,6113.44,179,59.98776007,30.1935859,276
851.383,8913,140,59.8600779,30.1935623,277
787.501,6350.9,215,59.9885074,30.19377815,278
2098.9,19100,569,59.99554179,30.19396022,279
1505.83,9486.74,161,59.8494975,30.19353577,280
2088.06,19001.3,573,59.99659435,30.19412402,281
1895.92,19289,329,59.86141574,30.19441295,282
1422.05,995.435,40,59.99755204,30.19417528,283
2095.18,1466.626,59,59.99880357,30.19446914,284
864.521,3523.95,135,59.83078375,30.1945491,285
1840.34,12811.1,526,59.82986525,30.19474459,286
1098.86,9125.2,249,59.98610266,30.19484518,287
1544.89,18384.2,576,59.9998287,30.1945882,288
3350.12,37521.4,637,59.85541556,30.19491934,289
744.254,6031.1,150,59.98873584,30.19475417,290
905.907,5631.8,92,59.85189527,30.19459624,291
651.068,10488.3,167,59.85963505,30.19465745,292
1327.4,13486.1,594,59.83183375,30.19533379,293
576.609,403.6263,16,59.85217029,30.19473988,294
5409.81,50344,869,59.85840855,30.19628717,295
478.614,4732.2,137,59.98899111,30.19538991,296
3301.49,25122.5,456,59.85387673,30.19613721,297
1883.28,14748.9,261,59.8570941,30.19578131,298
856.258,5956.9,94,59.85260413,30.19544317,299
4812.88,64168.6,1939,59.99944205,30.19707066,300
6817.9,23095.1,984,59.83239445,30.19755788,301
993.411,9374,168,59.85917185,30.19597576,302
2039.81,21861.8,624,59.99711669,30.19586988,303
1019.46,7151,216,59.98582697,30.19579311,304
1102.14,9033.4,260,59.98879485,30.19636686,305
855.804,14976.6,272,59.86122537,30.19625084,306
3611.89,45943,1354,59.99458782,30.196916,307
2010.42,21695.5,608,59.99590361,30.19678593,308
309.854,2751.1,104,59.82804695,30.196121,309
5470.14,88069.3,1786,59.93850262,30.19650564,310
1863.88,6982.7,258,59.82988377,30.19654673,311
2686.99,43260.6,1261,59.9982399,30.19761621,312
2864.32,20578.1,587,59.99023832,30.19719375,313
3753.42,36839.2,1123,60.00361287,30.19725648,314
1144.68,13390.1,411,59.98727259,30.19742828,315
2890.68,22794.2,696,59.98586359,30.19743833,316
1723.46,1206.422,48,59.86115274,30.19746133,317
2022.09,16120.5,483,59.99115982,30.19809243,318
1601.52,10593,316,60.00486974,30.19723124,319
4753.61,28276.9,487,59.85618954,30.1982369,320
3507.68,46652.2,843,59.9374821,30.19838591,321
316.705,2689.07,108,59.82785467,30.19718702,322
754.978,7480,116,59.85475125,30.19732729,323
1775.82,4374.1,171,59.83394778,30.19758534,324
478.264,4822.7,142,59.98872809,30.19741272,325
1824.98,6979.47,280,59.82989802,30.19729913,326
710.478,10394.2,194,59.85915959,30.19743477,327
1820.76,13694.1,418,59.98833951,30.1983626,328
1601.38,10617.8,321,60.00586756,30.19807375,329
782.656,9102.4,244,59.98685984,30.19801683,330
1860.21,1302.147,52,59.84769223,30.19809168,331
1782.28,6993.12,333,59.82990775,30.19805188,332
2314.41,14580.8,748,59.84701928,30.19948781,333
769.886,538.9202,22,59.86069533,30.19829116,334
1896.42,10593.4,453,59.83352751,30.19898202,335
1064.23,8371.2,349,59.83423704,30.19840524,336
535.493,1571,70,59.8346846,30.19834825,337
316.662,2770.4,112,59.82761665,30.1982595,338
778.545,1634.94,46,59.98751918,30.19835019,339
2241.5,15036,791,59.85003122,30.19939187,340
874.694,6207,332,59.85064506,30.19869137,341
890.972,3565.2,157,59.83066548,30.19903131,342
876.674,3502.47,144,59.8291909,30.19907658,343
1140.64,9445,283,59.98514264,30.19925752,344
933.469,7392,401,59.84837566,30.19889218,345
475.034,8313.09,241,59.99547809,30.19875628,346
3537.42,28961.7,479,59.85778932,30.19940747,347
1988.33,11198.8,326,60.00666379,30.19919857,348
1600.14,11260.6,479,59.83541535,30.19935824,349
1786.44,20573,625,60.00422126,30.19938308,350
2987.27,24338.6,388,59.85897232,30.19937724,351
629.921,2441,82,59.83456848,30.19956828,352
1664.13,19380,319,59.86023307,30.19981236,353
3006.76,33686.1,949,60.00529433,30.20002404,354
2921.29,42310.1,1288,59.9886304,30.20047699,355
910.946,7793.4,387,59.84884392,30.19924688,356
328.547,2764.1,145,59.82755537,30.19938648,357
3444.52,43688.6,1288,59.99816301,30.19996579,358
847.518,5161.6,293,59.8492048,30.19989983,359
506.465,8863.14,224,59.99563184,30.19957785,360
1294.39,8230,424,59.8514798,30.19957376,361
41.896,29.3272,3,59.98664855,30.19952785,362
1720.46,13785.9,393,59.99056733,30.20013405,363
1878.76,12927.3,386,60.00364746,30.20044607,364
874.848,6960.8,233,59.99160408,30.20045446,365
